,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Chokurdakh,36,RU,1554422530,98,70.62,147.9,263.717,2.26
1,Padang,12,ID,1554422530,100,-0.92,100.36,300.567,1.31
2,Kidal,56,ML,1554422531,24,18.44,1.41,297.967,0.96
3,Thompson,90,CA,1554418800,73,55.74,-97.86,267.15,3.6
4,Bandarbeyla,0,SO,1554422531,100,9.49,50.81,299.517,2.11
5,Rikitea,0,PF,1554422531,100,-23.12,-134.97,297.917,7.36
6,Chicama,20,PE,1554418800,88,-7.84,-79.15,294.15,4.1
7,Kailua,40,US,1554422485,65,21.39,-157.74,302.15,4.1
8,Buala,80,SB,1554422532,79,-8.15,159.59,303.467,3.41
9,Piacabucu,24,BR,1554422532,87,-10.41,-36.43,299.417,2.76
10,Provideniya,0,RU,1554418800,68,64.42,-173.23,270.15,5.0
11,Tilichiki,92,RU,1554422533,89,60.47,166.1,274.867,4.11
12,Nemuro,0,JP,1554420600,38,43.32,145.57,278.15,1.5
13,Meulaboh,12,ID,1554422336,100,4.14,96.13,299.267,2.31
14,Hermanus,80,ZA,1554421591,88,-34.42,19.24,287.59,1.46
15,Ushuaia,75,AR,1554418800,93,-54.81,-68.31,277.15,10.8
16,Puerto Ayora,32,EC,1554422387,100,-0.74,-90.35,299.117,0.81
17,Iqaluit,75,CA,1554421924,71,63.75,-68.52,258.15,10.3
18,Noyabrsk,88,RU,1554422534,92,63.2,75.45,272.417,4.46
19,Busselton,0,AU,1554422409,63,-33.64,115.35,283.15,4.06
20,Kotri,0,PK,1554422534,74,25.36,68.31,296.017,3.91
21,Jumla,0,NP,1554422535,89,29.28,82.18,270.917,1.16
22,Hilo,40,US,1554422474,57,19.71,-155.08,299.15,4.1
23,Tautira,40,PF,1554421945,74,-17.73,-149.15,304.15,5.1
24,Saint-Philippe,1,CA,1554422528,69,45.36,-73.48,274.26,3.1
25,Pevek,32,RU,1554422536,95,69.7,170.27,265.967,2.41
26,Georgetown,40,GY,1554418800,78,6.8,-58.16,300.15,5.1
27,Tuatapere,92,NZ,1554422408,69,-46.13,167.69,285.93,2.96
28,Jamestown,0,AU,1554422537,37,-33.21,138.6,297.767,6.96
29,Ushtobe,8,KZ,1554422538,79,45.25,77.98,276.417,1.16
30,Yellowknife,20,CA,1554422363,51,62.45,-114.38,262.04,6.2
31,Bluff,12,AU,1554422538,52,-23.58,149.07,298.617,6.01
32,Bethel,1,US,1554422160,69,60.79,-161.76,273.15,9.8
33,Kodiak,90,US,1554422524,47,39.95,-94.76,287.15,2.1
34,Illapel,80,CL,1554422539,89,-31.63,-71.17,289.267,1.66
35,Potenza,90,IT,1554418500,93,40.64,15.8,277.15,7.2
36,Vihti,0,FI,1554422532,92,60.42,24.32,273.15,0.5
37,Fukue,0,JP,1554422415,57,35.03,136.69,291.48,2.1
38,Punta Arenas,75,CL,1554421950,70,-53.16,-70.91,281.15,7.2
39,Villarrica,0,CL,1554418800,76,-39.28,-72.23,284.15,2.6
40,Romitan,0,UZ,1554418800,87,39.93,64.38,289.15,4.1
41,Oyonnax,75,FR,1554422477,82,46.26,5.66,274.15,1.5
42,Punta Alta,92,AR,1554422524,96,-27.46,-55.82,296.017,2.56
43,Tasiilaq,0,GL,1554418200,73,65.61,-37.64,270.15,2.6
44,East London,68,ZA,1554422542,100,-33.02,27.91,294.267,11.21
45,Castro,90,CL,1554418800,76,-42.48,-73.76,284.15,1.5
46,Mar del Plata,0,AR,1554422524,48,-46.43,-67.52,289.467,8.06
47,Nagapattinam,0,IN,1554422543,81,10.76,79.84,298.667,2.56
48,Kriva Palanka,40,MK,1554420600,61,42.2,22.33,283.15,1.5
49,Tuktoyaktuk,75,CA,1554418800,77,69.44,-133.03,257.15,3.1
50,Djibo,92,BF,1554422544,64,14.1,-1.63,304.117,1.21
51,Cidreira,76,BR,1554422544,91,-30.17,-50.22,297.167,2.41
52,Balkhash,8,KZ,1554422544,75,46.84,74.98,275.917,1.26
53,Bredasdorp,76,ZA,1554422490,81,-34.53,20.04,287.04,3.1
54,Mataura,76,NZ,1554422408,69,-46.19,168.86,285.93,2.36
55,Korem,0,ET,1554422545,89,12.51,39.52,283.517,0.61
56,Loreto,44,PY,1554422545,82,-23.27,-57.32,299.917,2.41
57,Severo-Kurilsk,36,RU,1554422546,91,50.68,156.12,274.667,2.06
58,Srednekolymsk,20,RU,1554422546,76,67.46,153.71,266.817,1.41
59,Dunedin,92,NZ,1554422072,65,-45.87,170.5,284.82,5.81
60,Mayumba,76,GA,1554422546,100,-3.44,10.65,299.567,2.81
61,Port Macquarie,90,AU,1554422404,88,-31.43,152.91,298.15,2.6
62,Muros,75,ES,1554422515,100,42.77,-9.06,280.93,2.1
63,Vila Velha,0,BR,1554422288,83,-3.71,-38.6,299.82,1.0
64,Albany,1,US,1554422525,29,42.65,-73.75,278.15,7.2
65,San Luis,0,AR,1554422275,28,-33.3,-66.34,290.667,4.21
66,Port Elizabeth,1,US,1554422522,40,39.31,-74.98,289.26,3.6
67,Nabire,8,ID,1554422549,81,-3.36,135.5,298.717,1.06
68,Jacareacanga,80,BR,1554422549,84,-6.22,-57.76,300.317,1.51
69,Kariapatti,0,IN,1554422549,91,9.68,78.1,295.167,1.06
70,Yulara,0,AU,1554418800,30,-25.24,130.99,295.15,2.6
71,Rome,75,IT,1554422465,87,41.89,12.48,282.59,1.0
72,Ribeira Grande,48,PT,1554422550,100,38.52,-28.7,287.467,8.01
73,Sioux Lookout,75,CA,1554418800,32,50.1,-91.92,278.15,5.1
74,Vardo,75,US,1554422317,47,39.62,-77.74,289.15,1.06
75,Cape Town,75,ZA,1554422291,72,-33.93,18.42,288.71,6.2
76,Usinsk,80,RU,1554422551,92,66.0,57.56,273.167,6.06
77,Upernavik,8,GL,1554422551,87,72.79,-56.15,262.817,7.71
78,Barrow,0,AR,1554422552,79,-38.31,-60.23,287.067,7.01
79,Gat,0,SN,1554420600,72,14.69,-16.54,296.15,9.3
80,Kofele,20,ET,1554422552,99,7.07,38.78,279.317,1.31
81,Lompoc,40,US,1554422482,59,34.64,-120.46,290.15,3.1
82,Koslan,20,RU,1554422553,76,63.46,48.9,272.117,3.21
83,Kruisfontein,92,ZA,1554422553,89,-34.0,24.73,290.467,5.66
84,Aripuana,20,BR,1554422553,85,-9.17,-60.63,300.167,0.91
